run,micros
0,12378
1,11121
2,9762
3,11312
4,10168
5,10046
6,9787
7,10039
8,9081
9,20265
10,15754
11,11477
12,12030
13,11023
14,11012
15,13098
16,10032
17,12476
18,10475
19,11629
20,11799
21,11593
22,11814
23,14010
24,12046
25,9032
26,9680
27,8514
28,10142
29,11243
30,9829
31,10172
32,9857
33,9817
34,10139
35,10503
36,10696
37,11337
38,11558
39,10368
40,10419
41,9494
42,10172
43,9901
44,10167
45,10126
46,9699
47,10814
48,10999
49,9411
50,12755
51,9397
52,8767
53,9166
54,9122
55,9697
56,8540
57,9149
58,10008
59,8696
60,10426
61,9059
62,8703
63,9542
64,9341
65,11168
66,9407
67,10129
68,11314
69,10429
70,10192
71,10182
72,9867
73,9620
74,8654
75,10339
76,9320
77,10678
78,9723
79,9699
80,9921
81,9714
82,8963
83,8927
84,8886
85,10060
86,9740
87,11062
88,11597
89,9570
90,10985
91,9112
92,10477
93,9580
94,10912
95,8975
96,9373
97,9368
98,10775
99,9530
